 epoch  avg_acc_train avg_loss_train    avg_acc_val   avg_loss_val   elapsed_time
     1        61.7542         1.1077        61.7542         1.1167    00:00:04:06
     2        64.1079         1.0083        64.0070         1.0175    00:00:07:56
     3        66.3081         0.9304        65.7729         0.9490    00:00:11:54
     4        67.3651         0.9014        66.6558         0.9276    00:00:15:42
     5        68.7841         0.8616        67.7660         0.8949    00:00:19:31
     6        69.4617         0.8479        68.1166         0.8852    00:00:23:17
     7        70.1269         0.8267        68.7723         0.8708    00:00:27:03
     8        70.6997         0.8113        69.0060         0.8636    00:00:30:50
     9        70.7921         0.7995        68.7593         0.8596    00:00:34:36
    10        71.9702         0.7778        69.4540         0.8504    00:00:38:31
    11        72.3371         0.7658        69.2592         0.8451    00:00:42:26
    12        73.0372         0.7562        69.7332         0.8423    00:00:46:20
    13        73.2906         0.7429        70.2006         0.8448    00:00:50:16
    14        74.1317         0.7195        70.1032         0.8328    00:00:54:14
    15        73.9582         0.7201        69.9214         0.8409    00:00:58:36
    16        74.3351         0.7098        70.1422         0.8455    00:01:02:24
    17        75.0665         0.6935        70.2461         0.8399    00:01:06:11
    18        75.5831         0.6780        70.6161         0.8382    00:01:10:13
    19        74.8730         0.6919        70.0578         0.8697    00:01:14:14
    20        76.6764         0.6529        70.1162         0.8438    00:01:18:16
    21        76.6589         0.6498        69.9085         0.8625    00:01:22:21
    22        77.3041         0.6472        69.7007         0.8647    00:01:26:28
    23        77.4301         0.6246        70.3369         0.8779    00:01:30:29
    24        77.3178         0.6266        70.1097         0.8989    00:01:34:27
    25        77.5075         0.6123        70.0513         0.8866    00:01:38:17
    26        78.8092         0.5914        69.7916         0.8898    00:01:42:07
    27        78.2001         0.5991        69.3696         0.9240    00:01:45:57
    28        78.6157         0.5868        69.5059         0.9238    00:01:49:50
    29        79.4669         0.5688        69.1683         0.9278    00:01:53:47
    30        80.2843         0.5487        69.5709         0.9337    00:01:57:38
