  iter           loss   elapsed_time
     0         1.8170    00:00:00:03
    10         1.8113    00:00:00:04
    20         1.7927    00:00:00:05
    30         1.7562    00:00:00:05
    40         1.7462    00:00:00:06
    50         1.6719    00:00:00:07
    60         1.6806    00:00:00:08
    70         1.6563    00:00:00:08
    80         1.5497    00:00:00:09
    90         1.6310    00:00:00:10
   100         1.5574    00:00:00:10
   110         1.6418    00:00:00:11
   120         1.4577    00:00:00:12
   130         1.3901    00:00:00:13
   140         1.3994    00:00:00:14
   150         1.4462    00:00:00:14
   160         1.4020    00:00:00:15
   170         1.4715    00:00:00:16
   180         1.3411    00:00:00:17
   190         1.3526    00:00:00:18
   200         1.4669    00:00:00:18
   210         1.4690    00:00:00:19
   220         1.4536    00:00:00:20
   230         1.4355    00:00:00:21
   240         1.4293    00:00:00:22
   250         1.2184    00:00:00:23
   260         1.3972    00:00:00:24
   270         1.5211    00:00:00:24
   280         1.3587    00:00:00:25
   290         1.4178    00:00:00:26
   300         1.3173    00:00:00:27
   310         1.3477    00:00:00:28
   320         1.4588    00:00:00:29
   330         1.4431    00:00:00:29
   340         1.3953    00:00:00:30
   350         1.2841    00:00:00:31
   360         1.3255    00:00:00:32
   370         1.3302    00:00:00:33
   380         1.5618    00:00:00:34
   390         1.2706    00:00:00:35
   400         1.1158    00:00:00:35
   410         1.3123    00:00:00:36
   420         1.2995    00:00:00:37
   430         1.2194    00:00:00:38
   440         1.3027    00:00:00:39
   450         1.4047    00:00:00:40
   460         1.2986    00:00:00:41
   470         1.5068    00:00:00:41
   480         1.2566    00:00:00:42
   490         1.3878    00:00:00:43
   500         1.3942    00:00:00:44
   510         1.5229    00:00:00:45
   520         1.3418    00:00:00:45
   530         1.1481    00:00:00:46
   540         1.4305    00:00:00:47
   550         1.3537    00:00:00:48
   560         1.3638    00:00:00:48
   570         1.1460    00:00:00:49
   580         1.2165    00:00:00:50
   590         1.2182    00:00:00:51
   600         1.5337    00:00:00:53
   610         1.2150    00:00:00:54
   620         1.3080    00:00:00:55
   630         1.1967    00:00:00:56
   640         1.4787    00:00:00:56
   650         1.2542    00:00:00:57
   660         1.2756    00:00:00:58
   670         1.4516    00:00:00:59
   680         1.3709    00:00:00:59
   690         1.4202    00:00:01:00
   700         1.4270    00:00:01:01
   710         1.4468    00:00:01:02
   720         1.1576    00:00:01:02
   730         1.2361    00:00:01:03
   740         1.2516    00:00:01:04
   750         1.0956    00:00:01:05
   760         1.2143    00:00:01:05
   770         1.2524    00:00:01:06
   780         1.4758    00:00:01:07
   790         1.3402    00:00:01:08
   800         1.2406    00:00:01:09
   810         1.1169    00:00:01:10
   820         1.0152    00:00:01:11
   830         1.2561    00:00:01:12
   840         0.9795    00:00:01:13
   850         1.2501    00:00:01:14
   860         1.0060    00:00:01:15
   870         1.2224    00:00:01:16
   880         1.3427    00:00:01:17
   890         1.4046    00:00:01:18
   900         1.1029    00:00:01:19
   910         1.1585    00:00:01:21
   920         1.0453    00:00:01:22
   930         1.1149    00:00:01:23
   940         1.0446    00:00:01:24
   950         1.2253    00:00:01:25
   960         1.0987    00:00:01:26
   970         1.1311    00:00:01:27
   980         1.0269    00:00:01:28
   990         1.2015    00:00:01:29
  1000         1.0756    00:00:01:30
  1010         1.0472    00:00:01:32
  1020         1.2293    00:00:01:33
  1030         1.1556    00:00:01:34
  1040         1.5895    00:00:01:35
  1050         0.9432    00:00:01:36
  1060         1.1274    00:00:01:37
  1070         1.0998    00:00:01:38
  1080         1.2103    00:00:01:40
  1090         1.0550    00:00:01:41
  1100         1.2836    00:00:01:42
  1110         1.1538    00:00:01:43
  1120         1.1751    00:00:01:44
  1130         1.1685    00:00:01:45
  1140         1.0521    00:00:01:46
  1150         1.3252    00:00:01:48
  1160         1.0934    00:00:01:49
  1170         1.2184    00:00:01:51
  1180         1.0895    00:00:01:52
  1190         0.9948    00:00:01:53
  1200         0.9076    00:00:01:54
  1210         1.1424    00:00:01:55
  1220         1.1113    00:00:01:57
  1230         1.0252    00:00:01:58
  1240         1.2327    00:00:01:59
  1250         0.9472    00:00:02:00
  1260         1.2004    00:00:02:01
  1270         1.2652    00:00:02:02
  1280         1.3274    00:00:02:03
  1290         1.0304    00:00:02:04
  1300         1.0645    00:00:02:06
  1310         0.9813    00:00:02:07
  1320         1.3008    00:00:02:08
  1330         1.2312    00:00:02:09
  1340         1.0308    00:00:02:10
  1350         0.9037    00:00:02:11
  1360         0.8828    00:00:02:12
  1370         0.8650    00:00:02:13
  1380         0.8846    00:00:02:15
  1390         1.1295    00:00:02:16
  1400         0.8771    00:00:02:17
  1410         1.0413    00:00:02:18
  1420         1.2080    00:00:02:19
  1430         1.0087    00:00:02:20
  1440         1.1039    00:00:02:21
  1450         1.0209    00:00:02:22
  1460         0.8062    00:00:02:24
  1470         0.8895    00:00:02:24
