  iter           loss   elapsed_time
     0         2.2926    00:00:00:00
    10         2.3009    00:00:00:00
    20         2.3085    00:00:00:00
    30         2.3107    00:00:00:01
    40         2.3093    00:00:00:01
    50         2.2970    00:00:00:01
    60         2.3022    00:00:00:02
    70         2.2973    00:00:00:02
    80         2.3082    00:00:00:02
    90         2.3086    00:00:00:02
   100         2.3028    00:00:00:03
   110         2.3006    00:00:00:03
   120         2.2990    00:00:00:03
   130         2.3066    00:00:00:04
   140         2.2956    00:00:00:04
   150         2.3015    00:00:00:04
   160         2.3012    00:00:00:05
   170         2.2987    00:00:00:05
   180         2.3068    00:00:00:05
   190         2.2942    00:00:00:06
   200         2.3064    00:00:00:06
   210         2.3003    00:00:00:06
   220         2.2985    00:00:00:06
   230         2.3028    00:00:00:07
   240         2.2996    00:00:00:07
   250         2.2982    00:00:00:07
   260         2.2971    00:00:00:08
   270         2.3037    00:00:00:08
   280         2.2988    00:00:00:08
   290         2.2985    00:00:00:09
   300         2.3170    00:00:00:09
   310         2.3102    00:00:00:09
   320         2.2966    00:00:00:09
   330         2.2992    00:00:00:10
   340         2.3004    00:00:00:10
   350         2.2990    00:00:00:10
   360         2.3025    00:00:00:11
   370         2.3002    00:00:00:11
   380         2.2946    00:00:00:11
   390         2.3017    00:00:00:12
   400         2.3079    00:00:00:12
   410         2.2917    00:00:00:12
   420         2.3070    00:00:00:12
   430         2.3046    00:00:00:13
   440         2.3006    00:00:00:13
   450         2.2911    00:00:00:13
   460         2.2987    00:00:00:14
   470         2.2988    00:00:00:14
   480         2.2959    00:00:00:14
   490         2.2981    00:00:00:15
   500         2.2987    00:00:00:15
   510         2.3047    00:00:00:15
   520         2.2992    00:00:00:16
   530         2.2987    00:00:00:16
   540         2.2998    00:00:00:16
   550         2.3046    00:00:00:16
   560         2.2962    00:00:00:17
   570         2.3012    00:00:00:17
   580         2.2938    00:00:00:17
   590         2.2981    00:00:00:18
   600         2.2965    00:00:00:18
   610         2.3012    00:00:00:18
   620         2.2961    00:00:00:19
   630         2.3007    00:00:00:19
   640         2.3019    00:00:00:19
   650         2.2941    00:00:00:19
   660         2.2943    00:00:00:20
   670         2.2967    00:00:00:20
   680         2.2988    00:00:00:20
   690         2.2961    00:00:00:21
   700         2.2963    00:00:00:21
   710         2.2972    00:00:00:21
   720         2.2934    00:00:00:22
   730         2.2951    00:00:00:22
   740         2.2965    00:00:00:22
   750         2.2966    00:00:00:23
   760         2.2870    00:00:00:23
   770         2.2956    00:00:00:23
   780         2.2894    00:00:00:23
   782         2.2935    00:00:00:37
   792         2.2837    00:00:00:37
   802         2.2865    00:00:00:37
   812         2.3051    00:00:00:38
   822         2.2951    00:00:00:38
   832         2.2956    00:00:00:38
   842         2.2924    00:00:00:38
   852         2.2724    00:00:00:39
   862         2.2665    00:00:00:39
   872         2.2807    00:00:00:39
   882         2.2860    00:00:00:40
   892         2.2762    00:00:00:40
   902         2.2966    00:00:00:40
   912         2.2822    00:00:00:41
   922         2.2828    00:00:00:41
   932         2.2776    00:00:00:41
   942         2.2886    00:00:00:41
   952         2.2554    00:00:00:42
   962         2.2626    00:00:00:42
   972         2.2797    00:00:00:42
   982         2.2744    00:00:00:43
   992         2.2806    00:00:00:43
  1002         2.2780    00:00:00:43
  1012         2.2740    00:00:00:44
  1022         2.2713    00:00:00:44
  1032         2.2512    00:00:00:44
  1042         2.2661    00:00:00:44
  1052         2.2684    00:00:00:45
  1062         2.2587    00:00:00:45
  1072         2.2208    00:00:00:45
  1082         2.2552    00:00:00:46
  1092         2.2037    00:00:00:46
  1102         2.2514    00:00:00:46
  1112         2.2118    00:00:00:47
  1122         2.2097    00:00:00:47
  1132         2.2184    00:00:00:47
  1142         2.1960    00:00:00:48
  1152         2.1866    00:00:00:48
  1162         2.1961    00:00:00:48
  1172         2.2238    00:00:00:48
  1182         2.1484    00:00:00:49
  1192         2.1993    00:00:00:49
  1202         2.1252    00:00:00:49
  1212         2.2250    00:00:00:50
  1222         2.1440    00:00:00:50
  1232         2.1563    00:00:00:50
  1242         2.1416    00:00:00:51
  1252         2.2070    00:00:00:51
  1262         2.1343    00:00:00:51
  1272         2.1189    00:00:00:51
  1282         2.1255    00:00:00:52
  1292         2.1773    00:00:00:52
  1302         2.1437    00:00:00:52
  1312         2.0716    00:00:00:53
  1322         2.1293    00:00:00:53
  1332         2.1326    00:00:00:53
  1342         2.0506    00:00:00:53
  1352         2.1332    00:00:00:54
  1362         2.1499    00:00:00:54
  1372         2.2116    00:00:00:54
  1382         2.0511    00:00:00:55
  1392         2.1108    00:00:00:55
  1402         2.0397    00:00:00:55
  1412         2.1199    00:00:00:56
  1422         1.9481    00:00:00:56
  1432         2.1275    00:00:00:56
  1442         2.1763    00:00:00:56
  1452         1.9700    00:00:00:57
  1462         2.1024    00:00:00:57
  1472         1.9787    00:00:00:57
  1482         2.0255    00:00:00:58
  1492         2.0198    00:00:00:58
  1502         1.9094    00:00:00:58
  1512         2.0126    00:00:00:59
  1522         2.0180    00:00:00:59
  1532         2.0532    00:00:00:59
  1542         1.9461    00:00:00:59
  1552         2.0427    00:00:01:00
  1562         2.0410    00:00:01:00
  1564         1.9517    00:00:01:13
  1574         2.1000    00:00:01:13
  1584         2.0716    00:00:01:14
  1594         2.0345    00:00:01:14
  1604         1.9995    00:00:01:14
  1614         2.0158    00:00:01:15
  1624         1.9567    00:00:01:15
  1634         2.0668    00:00:01:15
  1644         2.0908    00:00:01:15
  1654         1.9079    00:00:01:16
  1664         2.0896    00:00:01:16
  1674         1.9780    00:00:01:16
  1684         1.9555    00:00:01:17
  1694         2.0149    00:00:01:17
  1704         1.9773    00:00:01:17
  1714         1.9500    00:00:01:18
  1724         2.1176    00:00:01:18
  1734         1.9361    00:00:01:18
  1744         2.0376    00:00:01:18
  1754         2.0196    00:00:01:19
  1764         1.9858    00:00:01:19
  1774         1.8741    00:00:01:19
  1784         1.8783    00:00:01:20
  1794         1.9224    00:00:01:20
  1804         1.8977    00:00:01:20
  1814         1.8783    00:00:01:21
  1824         2.1223    00:00:01:21
  1834         1.8988    00:00:01:21
  1844         1.8589    00:00:01:21
  1854         1.9522    00:00:01:22
  1864         1.8040    00:00:01:22
  1874         1.9421    00:00:01:22
  1884         2.0611    00:00:01:23
  1894         1.9385    00:00:01:23
  1904         2.0228    00:00:01:23
  1914         1.8936    00:00:01:24
  1924         2.0257    00:00:01:24
  1934         1.9910    00:00:01:24
  1944         1.8567    00:00:01:24
  1954         1.9199    00:00:01:25
  1964         1.8557    00:00:01:25
  1974         1.7746    00:00:01:25
  1984         1.8937    00:00:01:26
  1994         1.9084    00:00:01:26
  2004         1.8969    00:00:01:26
  2014         1.9405    00:00:01:27
  2024         1.7401    00:00:01:27
  2034         1.9576    00:00:01:27
  2044         1.8934    00:00:01:27
  2054         1.9325    00:00:01:28
  2064         1.8945    00:00:01:28
  2074         1.9400    00:00:01:28
  2084         1.8596    00:00:01:29
  2094         1.7907    00:00:01:29
  2104         1.8911    00:00:01:29
  2114         1.9626    00:00:01:30
  2124         1.8012    00:00:01:30
  2134         1.7571    00:00:01:30
  2144         1.9538    00:00:01:30
  2154         1.7389    00:00:01:31
  2164         1.7966    00:00:01:31
  2174         1.7528    00:00:01:31
  2184         1.8991    00:00:01:32
  2194         1.8668    00:00:01:32
  2204         1.8541    00:00:01:32
  2214         1.8376    00:00:01:33
  2224         1.9146    00:00:01:33
  2234         1.9757    00:00:01:33
  2244         1.8952    00:00:01:33
  2254         1.7557    00:00:01:34
  2264         1.8186    00:00:01:34
  2274         1.8192    00:00:01:34
  2284         1.8034    00:00:01:35
  2294         1.8081    00:00:01:35
  2304         1.9890    00:00:01:35
  2314         1.7718    00:00:01:36
  2324         1.9306    00:00:01:36
  2334         1.9202    00:00:01:36
  2344         1.9832    00:00:01:36
  2346         1.6608    00:00:01:49
  2356         1.8669    00:00:01:50
  2366         1.6616    00:00:01:50
  2376         1.8306    00:00:01:50
  2386         1.8735    00:00:01:51
  2396         1.8066    00:00:01:51
  2406         1.9289    00:00:01:51
  2416         1.7983    00:00:01:52
  2426         1.8972    00:00:01:52
  2436         1.6191    00:00:01:52
  2446         1.7842    00:00:01:52
  2456         1.7687    00:00:01:53
  2466         1.8418    00:00:01:53
  2476         1.8952    00:00:01:53
  2486         1.8114    00:00:01:54
  2496         1.6831    00:00:01:54
  2506         1.7939    00:00:01:54
  2516         1.8145    00:00:01:55
  2526         1.7301    00:00:01:55
  2536         1.7123    00:00:01:55
  2546         1.8913    00:00:01:55
  2556         1.7852    00:00:01:56
  2566         1.9412    00:00:01:56
  2576         1.9788    00:00:01:56
  2586         1.9243    00:00:01:57
  2596         1.6819    00:00:01:57
  2606         1.6905    00:00:01:57
  2616         1.5782    00:00:01:58
  2626         1.8347    00:00:01:58
  2636         1.9419    00:00:01:58
  2646         1.8444    00:00:01:58
  2656         1.8452    00:00:01:59
  2666         1.6803    00:00:01:59
  2676         1.8047    00:00:01:59
  2686         1.6417    00:00:02:00
  2696         1.7426    00:00:02:00
  2706         1.7354    00:00:02:00
  2716         1.7515    00:00:02:01
  2726         1.6697    00:00:02:01
  2736         1.8294    00:00:02:01
  2746         1.7868    00:00:02:01
  2756         1.8959    00:00:02:02
  2766         1.7135    00:00:02:02
  2776         1.8136    00:00:02:02
  2786         1.8019    00:00:02:03
  2796         1.7025    00:00:02:03
  2806         1.6357    00:00:02:03
  2816         1.7425    00:00:02:04
  2826         1.7220    00:00:02:04
  2836         1.9120    00:00:02:04
  2846         1.8386    00:00:02:05
  2856         1.6065    00:00:02:05
  2866         1.7446    00:00:02:05
  2876         1.6400    00:00:02:05
  2886         1.6975    00:00:02:06
  2896         1.8322    00:00:02:06
  2906         1.7235    00:00:02:06
  2916         1.6820    00:00:02:07
  2926         1.7003    00:00:02:07
  2936         1.7467    00:00:02:07
  2946         1.7515    00:00:02:08
  2956         1.7023    00:00:02:08
  2966         1.8239    00:00:02:08
  2976         1.6768    00:00:02:09
  2986         1.6606    00:00:02:09
  2996         1.6385    00:00:02:09
  3006         1.7627    00:00:02:10
  3016         1.5693    00:00:02:10
  3026         1.6351    00:00:02:10
  3036         1.6174    00:00:02:11
  3046         1.6881    00:00:02:11
  3056         1.5345    00:00:02:11
  3066         1.6099    00:00:02:11
  3076         1.8631    00:00:02:12
  3086         1.5931    00:00:02:12
  3096         1.8130    00:00:02:12
  3106         1.6324    00:00:02:13
  3116         1.7012    00:00:02:13
  3126         1.7833    00:00:02:13
  3128         1.7298    00:00:02:28
  3138         1.8432    00:00:02:28
  3148         1.6581    00:00:02:28
  3158         1.7308    00:00:02:28
  3168         1.6007    00:00:02:29
  3178         1.5594    00:00:02:29
  3188         1.6238    00:00:02:29
  3198         1.5141    00:00:02:30
  3208         1.6801    00:00:02:30
  3218         1.6588    00:00:02:30
  3228         1.6870    00:00:02:31
  3238         1.5248    00:00:02:31
  3248         1.6145    00:00:02:31
  3258         1.5104    00:00:02:32
  3268         1.4955    00:00:02:32
  3278         1.5853    00:00:02:32
  3288         1.7856    00:00:02:32
  3298         1.5255    00:00:02:33
  3308         1.6025    00:00:02:33
  3318         1.5981    00:00:02:34
  3328         1.6211    00:00:02:34
  3338         1.4878    00:00:02:34
  3348         1.7047    00:00:02:34
  3358         1.7323    00:00:02:35
  3368         1.5151    00:00:02:35
  3378         1.6334    00:00:02:36
  3388         1.5520    00:00:02:36
  3398         1.7253    00:00:02:36
  3408         1.6966    00:00:02:37
  3418         1.5266    00:00:02:37
  3428         1.6711    00:00:02:37
  3438         1.5735    00:00:02:38
  3448         1.6377    00:00:02:38
  3458         1.7245    00:00:02:38
  3468         1.6892    00:00:02:38
  3478         1.5217    00:00:02:39
  3488         1.6465    00:00:02:39
  3498         1.4787    00:00:02:39
  3508         1.5310    00:00:02:40
  3518         1.5572    00:00:02:40
  3528         1.8319    00:00:02:41
  3538         1.5756    00:00:02:41
  3548         1.5474    00:00:02:41
  3558         1.5216    00:00:02:42
  3568         1.6027    00:00:02:42
  3578         1.6302    00:00:02:42
  3588         1.6716    00:00:02:42
  3598         1.5018    00:00:02:43
  3608         1.7763    00:00:02:43
  3618         1.5373    00:00:02:43
  3628         1.6936    00:00:02:44
  3638         1.7013    00:00:02:44
  3648         1.5648    00:00:02:44
  3658         1.5403    00:00:02:45
  3668         1.5772    00:00:02:45
  3678         1.7014    00:00:02:45
  3688         1.5852    00:00:02:46
  3698         1.4402    00:00:02:46
  3708         1.5957    00:00:02:46
  3718         1.5372    00:00:02:47
  3728         1.5898    00:00:02:47
  3738         1.6730    00:00:02:47
  3748         1.5984    00:00:02:48
  3758         1.6037    00:00:02:48
  3768         1.7784    00:00:02:48
  3778         1.6108    00:00:02:49
  3788         1.4469    00:00:02:49
  3798         1.5293    00:00:02:49
  3808         1.4713    00:00:02:49
  3818         1.6464    00:00:02:50
  3828         1.6103    00:00:02:50
  3838         1.5551    00:00:02:50
  3848         1.6240    00:00:02:51
